class,mutant,test_index,result
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,0,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,1,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,2,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,3,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,4,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,5,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,6,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,7,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,8,EXCEPTION
SORT_ARRAY_TWO_HALVES_SORTED,ORIGINAL,9,EXCEPTION
