class,mutant,test_index,result
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,0,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,1,3
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,2,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,3,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,4,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,5,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,6,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,7,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,8,-1
SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,ORIGINAL,9,-1
