class,mutant,test_index,result
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,0,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,1,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,2,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,3,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,4,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,5,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,6,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,7,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,8,EXCEPTION
SUM_BINOMIAL_COEFFICIENTS,ORIGINAL,9,EXCEPTION
