class,mutant,test_index,result
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,0,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,1,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,2,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,3,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,4,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,5,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,6,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,7,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,8,None
SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,ORIGINAL,9,None
