class,mutant,test_index,result
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,0,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,1,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,2,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,3,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,4,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,5,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,6,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,7,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,8,EXCEPTION
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,ORIGINAL,9,1
