class,mutant,test_index,result
ALTERNATIVE_SORTING,ORIGINAL,0,[1; 4; 5; 8; 8; 10; 11; 13; 14; 15; 16; 19; 20; 20; 23; 31; 33; 34; 37; 41; 42; 43; 43; 44; 46; 46; 50; 55; 55; 61; 63; 65; 66; 67; 68; 79; 79; 84; 84; 84; 86; 89; 92; 96; 96];42
ALTERNATIVE_SORTING,ORIGINAL,1,[-98; -92; -84; -78; -78; -78; -60; -52; -52; -48; -44; -38; -26; -22; -18; -12; -10; -6; 4; 8; 12; 18; 28; 30; 32; 34; 36; 62; 64; 66; 72; 74; 90; 94; 94];19
ALTERNATIVE_SORTING,ORIGINAL,2,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1];13
ALTERNATIVE_SORTING,ORIGINAL,3,[3; 7; 11; 13; 14; 16; 22; 22; 24; 37; 41; 48; 48; 50; 55; 56; 58; 61; 67; 68; 75; 83; 85; 89; 93; 96; 98; 99];22
ALTERNATIVE_SORTING,ORIGINAL,4,[-92; -80; -80; -78; -76; -72; -70; -60; -58; -58; -56; -44; -34; -32; -32; -26; -20; -14; -10; -8; -6; 0; 6; 6; 6; 10; 16; 18; 28; 30; 36; 36; 38; 46; 48; 52; 56; 56; 60; 68; 92; 96];31
ALTERNATIVE_SORTING,ORIGINAL,5,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1];15
ALTERNATIVE_SORTING,ORIGINAL,6,[4; 10; 12; 13; 15; 17; 24; 26; 30; 31; 36; 41; 41; 45; 49; 56; 57; 57; 66; 75; 75; 78; 85; 93; 94];14
ALTERNATIVE_SORTING,ORIGINAL,7,[-94; -88; -78; -74; -72; -70; -68; -68; -58; -44; -32; -26; -22; -18; -16; -16; -14; -14; -12; -12; -6; -2; 6; 10; 14; 18; 20; 22; 30; 46; 50; 50; 52; 62; 64; 66; 68; 72; 74; 86; 90; 96];40
ALTERNATIVE_SORTING,ORIGINAL,8,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1];20
ALTERNATIVE_SORTING,ORIGINAL,9,[13; 14; 16; 26; 49; 96];4
