class,mutant,test_index,result
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,0,33
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,1,14
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,2,7
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,3,4
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,4,64
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,5,1
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,6,14
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,7,26
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,8,1
ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,ORIGINAL,9,1
