class,mutant,test_index,result
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,0,True
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,1,True
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,2,False
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,3,True
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,4,True
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,5,True
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,6,False
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,7,False
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,8,False
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,ORIGINAL,9,False
