class,mutant,test_index,result
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,0,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,1,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,2,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,3,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,4,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,5,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,6,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,7,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,8,1
CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,ORIGINAL,9,1
