class,mutant,test_index,result
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,0,False
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,1,True
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,2,True
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,3,False
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,4,True
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,5,True
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,6,True
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,7,True
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,8,True
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,ORIGINAL,9,True
