class,mutant,test_index,result
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,0,False
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,1,False
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,2,True
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,3,True
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,4,True
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,5,True
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,6,True
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,7,True
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,8,True
CHECK_REVERSING_SUB_ARRAY_MAKE_ARRAY_SORTED_1,ORIGINAL,9,True
