class,mutant,test_index,result
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,0,45
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,1,73
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,2,26
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,3,40
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,4,12
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,5,41
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,6,32
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,7,71
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,8,74
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,ORIGINAL,9,78
