class,mutant,test_index,result
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,0,0
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,1,3
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,2,1
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,3,3
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,4,2
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,5,0
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,6,1
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,7,3
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,8,0
COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,ORIGINAL,9,0
