class,mutant,test_index,result
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,0,8
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,1,5
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,2,4
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,3,0
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,4,3
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,5,5
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,6,4
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,7,6
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,8,0
COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,ORIGINAL,9,5
