class,mutant,test_index,result
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,0,1100087778366101931
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,1,5527939700884757
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,2,987
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,3,13
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,4,433494437
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,5,24157817
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,6,2178309
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,7,4660046610375530309
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,8,420196140727489673
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,ORIGINAL,9,139583862445
