class,mutant,test_index,result
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,0,1468
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,1,1134264891541288
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,2,31916931064603434989256
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,3,519857447751054478104
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,4,16069407891645913779000
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,5,544505079089235836
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,6,16822463903082664816
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,7,2050766577396174819792
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,8,1960021838122234746086424
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,ORIGINAL,9,41103600
