class,mutant,test_index,result
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,0,1
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,1,3
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,2,1
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,3,2
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,4,1
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,5,2
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,6,1
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,7,0
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,8,1
COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS,ORIGINAL,9,2
