class,mutant,test_index,result
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,0,37
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,1,362
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,2,2
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,3,95
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,4,50
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,5,1
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,6,11
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,7,362
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,8,0
FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,ORIGINAL,9,59
