class,mutant,test_index,result
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,0,EXCEPTION
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,1,-1
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,2,-1
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,3,EXCEPTION
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,4,EXCEPTION
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,5,EXCEPTION
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,6,3
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,7,1
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,8,6
FIND_EQUAL_POINT_STRING_BRACKETS,ORIGINAL,9,7
