class,mutant,test_index,result
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,0,8
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,1,11
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,2,9
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,3,8
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,4,11
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,5,11
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,6,10
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,7,10
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,8,8
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME_1,ORIGINAL,9,4
