class,mutant,test_index,result
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,0,9
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,1,-1
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,2,1
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,3,0
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,4,15
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,5,4
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,6,-1
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,7,4
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,8,2
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,ORIGINAL,9,-1
