class,mutant,test_index,result
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,0,68
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,1,88
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,2,0
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,3,26
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,4,46
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,5,1
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,6,81
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,7,4
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,8,1
FIND_MINIMUM_ELEMENT_IN_A_SORTED_AND_ROTATED_ARRAY,ORIGINAL,9,3
