class,mutant,test_index,result
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,0,83
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,1,17.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,2,12.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,3,5.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,4,15.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,5,17.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,6,21.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,7,13.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,8,23.0
FIND_MINIMUM_SUM_FACTORS_NUMBER,ORIGINAL,9,16.0
