class,mutant,test_index,result
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,0,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,1,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,2,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,3,0
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,4,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,5,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,6,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,7,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,8,-1
FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,ORIGINAL,9,-1
