class,mutant,test_index,result
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,0,5631
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,1,52
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,2,0
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,3,207596
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,4,-1638
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,5,0
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,6,27034
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,7,1698
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,8,0
FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY,ORIGINAL,9,267019
