class,mutant,test_index,result
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,0,20;31;[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 59; 60; 61; 66; 70; 77; 78; 80; 80; 87; 88; 97]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,1,20;29;[0; 0; -38; -32; -36; 24; 62; 66; 34; 24; 82; -46; 46; -48; -24; 28; 74; 40; -96; 60; 82; 12; -14; 52; 98; 28; 82; 62; 18; 42; -80]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,2,18;18;[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,3,23;27;[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 40; 3; 79; 47; 82; 28; 7; 29; 79; 3; 33; 65; 55; 34; 41; 63; 29]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,4,28;34;[-96; -94; -90; -88; -84; -78; -76; -60; -60; -58; -42; -40; -36; -36; -28; -24; -8; 2; 4; 8; 10; 22; 26; 30; 32; 36; 36; 40; 48; 48; 52; 64; 68; 70; 74; 74; 78; 90; 92; 94]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,5,14;15;[0; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 0; 0; 0]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,6,20;18;[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 30; 53; 55; 58; 58; 59; 60; 63; 67; 69; 74; 78; 85; 97; 99; 99]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,7,46;28;[-18; 32; -54; -44; -24; -78; -98; -66; 34; 4; -12; 8; -76; -20; 72; 58; 76; 96; -70; -26; -98; 90; -40; 6; -30; -90; -8; -64; -22; 4; 82; 16; 18; 22; 30; 10; -14; 26; -48; 74; -38; -28; 62; 98; -32; 78; -22; -38; -70]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,8,39;46;[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1]
GIVEN_1S_2S_3S_KS_PRINT_ZIG_ZAG_WAY,ORIGINAL,9,13;19;[0; 0; 0; 12; 96; 9; 58; 59; 59; 68; 14; 53; 68; 89; 2; 5; 42; 31; 1; 33; 62; 1; 91; 85; 70; 68; 18]
