class,mutant,test_index,result
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,0,4863064503445832794
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,1,40449126700122460089497012241585406843374
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,2,73
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,3,4439152634035859071320
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,4,-563275647468877027649000626873775860928
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,5,14575198352436218261735001
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,6,2602117847418815959021235860
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,7,-7620126224138078712141271966338903121760
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,8,292561
HORNERS_METHOD_POLYNOMIAL_EVALUATION,ORIGINAL,9,67907758875578
