class,mutant,test_index,result
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,0,0
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,1,1
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,2,1
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,3,1
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,4,1
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,5,3
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,6,4
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,7,1
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,8,2
LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE,ORIGINAL,9,2
