class,mutant,test_index,result
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,0,1742
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,1,856
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,2,11
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,3,2092
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,4,1052
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,5,10
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,6,1996
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,7,358
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,8,22
MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY,ORIGINAL,9,1060
