class,mutant,test_index,result
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,0,-9223372036854775808
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,1,-9223372036854775808
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,2,5
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,3,-9223372036854775808
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,4,-9223372036854775808
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,5,9
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,6,-9223372036854775808
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,7,-9223372036854775808
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,8,-9223372036854775808
MAXIMUM_EQULIBRIUM_SUM_ARRAY,ORIGINAL,9,-9223372036854775808
