class,mutant,test_index,result
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,0,2
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,1,-2147483648
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,2,0
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,3,1207
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,4,0
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,5,0
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,6,1
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,7,162
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,8,0
MAXIMUM_SUM_ALTERNATING_SUBSEQUENCE_SUM,ORIGINAL,9,832
