class,mutant,test_index,result
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,0,4548
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,1,-736
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,2,0
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,3,270
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,4,40896
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,5,0
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,6,2652
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,7,9936
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,8,0
MINIMUM_COST_CONNECT_WEIGHTED_NODES_REPRESENTED_ARRAY,ORIGINAL,9,1808
