class,mutant,test_index,result
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,0,34
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,1,2147483647
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,2,2147483647
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,3,2147483647
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,4,82
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,5,2147483647
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,6,2147483647
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,7,122
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,8,0
MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,ORIGINAL,9,39
