class,mutant,test_index,result
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,0,4500
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,1,1890
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,2,408
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,3,204
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,4,817
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,5,552
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,6,120
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,7,768
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,8,1176
NTH_MULTIPLE_NUMBER_FIBONACCI_SERIES,ORIGINAL,9,3840
