class,mutant,test_index,result
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,0,16435314834665426797069144960762886143367590394940
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,1,337485502510215975556783793455058624700
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,2,9694845
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,3,58786
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,4,58786
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,5,9694845
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,6,33868773757191046886429490
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,7,1440418573150919668872489894243865350
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,8,1978261657756160653623774456
NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,ORIGINAL,9,104088460289122304033498318812080
