class,mutant,test_index,result
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,0,7
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,1,2
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,2,15
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,3,3
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,4,4
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,5,4
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,6,13
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,7,1
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,8,3
NUMBER_VISIBLE_BOXES_PUTTING_ONE_INSIDE_ANOTHER,ORIGINAL,9,17
