class,mutant,test_index,result
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,0,7275798.574924052
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,1,266562009.34357828
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,2,30114046.875937637
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,3,4857977.358664159
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,4,190866258.51879707
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,5,116865336.10679008
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,6,2385823.7719733207
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,7,188079541.63799432
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,8,107551908.5552799
PROGRAM_FOR_SURFACE_AREA_OF_OCTAHEDRON,ORIGINAL,9,55396369.52612884
