class,mutant,test_index,result
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,0,1521
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,1,400
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,2,100
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,3,1521
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,4,4900
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,5,441
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,6,441
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,7,6400
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,8,7921
PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,ORIGINAL,9,9801
