class,mutant,test_index,result
RECURSIVE_INSERTION_SORT,ORIGINAL,0,[4; 7; 8; 14; 25; 25; 25; 30; 31; 36; 36; 37; 42; 44; 45; 45; 47; 50; 50; 54; 60; 60; 61; 67; 68; 69; 79; 80; 82; 96];27
RECURSIVE_INSERTION_SORT,ORIGINAL,1,[-6; -2; -94];1
RECURSIVE_INSERTION_SORT,ORIGINAL,2,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1];27
RECURSIVE_INSERTION_SORT,ORIGINAL,3,[4; 5; 6; 7; 7; 14; 23; 25; 27; 28; 29; 32; 39; 56; 57; 58; 60; 63; 64; 68; 72; 76; 76; 86; 87; 91; 20; 64; 43; 30];26
RECURSIVE_INSERTION_SORT,ORIGINAL,4,[-98; -80; -64; -60; -58; -54; -46; -44; -38; -30; -26; -20; -14; -14; -12; -8; -8; 16; 18; 18; 24; 26; 26; 34; 46; 70; 76; 82; 98];27
RECURSIVE_INSERTION_SORT,ORIGINAL,5,[0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1];10
RECURSIVE_INSERTION_SORT,ORIGINAL,6,[3; 4; 4; 5; 7; 13; 21; 21; 21; 22; 24; 25; 25; 34; 34; 40; 40; 45; 48; 50; 51; 60; 61; 64; 68; 73; 74; 77; 79; 80; 85; 90; 91; 93];17
RECURSIVE_INSERTION_SORT,ORIGINAL,7,[-98; -92; -92; -88; -82; -82; -70; -66; -64; -64; -58; -56; -54; -50; -50; -48; -48; -32; -30; -24; -22; -20; -18; -8; -8; -8; -2; -2; 2; 20; 32; 34; 38; 44; 46; 46; 46; 48; 60; 68; 78; 80; 88; 92; 96; 18; 50];45
RECURSIVE_INSERTION_SORT,ORIGINAL,8,[0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1];21
RECURSIVE_INSERTION_SORT,ORIGINAL,9,[18; 53; 73; 19; 63];3
