class,mutant,test_index,result
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,0,23
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,1,55
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,2,29
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,3,9
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,4,22
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,5,42
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,6,26
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,7,51
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,8,1
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,ORIGINAL,9,44
