class,mutant,test_index,result
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,0,[373; 3754; 9853; 0; 78; 85; 85; 92];4;4;5;4
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,1,[1463; 10143; 45143; 80663; 120143; 63863; 160223; 70823; 88463; 102263; 26663; 45143; 49023; 75663; 34463; 9263; 143; 0; -90; -5; -94; -43; 29; -29; 86; -79; -8; 27; -20; -44; 16];18;20;20;23
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,2,[18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 18; 59; 59; 59; 59; 59; 59; 1; 1; 1];25;26;15;18
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,3,[86666; 68641; 55733; 65288; 278438; 214248; 285319; 65288; 202418; 12774; 15868; 163659; 168944; 279; 94464; 31604; 12774; 226414; 17541; 148308; 75599; 75599; 168944; 2344; 292284; 15868; 185303; 278438; 226414; 320984; 251754; 208291; 320984; 4; 25; 69; 30; 76; 68; 88; 29; 73; 68; 51; 24; 14; 69; 18];33;42;35;41
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,4,[5132; 6728; 54952; 58248; 63372; 70540; 86028; 98652; -12; -1; 9; 29; 48; 52; 56; 63; 88];8;12;8;8
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,5,[7; 7; 7; 21; 7; 21; 21; 1; 1; 1];7;8;6;7
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,6,[629; 945; 2869; 6759; 11059; 13605; 16415; 17919; 21125; 26429; 30295; 32327; 38819; 41115; 43477; 48399; 48399; 50959; 64749; 76969; 80189; 0; 54; 55; 59; 64; 66; 71; 72; 72; 73; 76; 78; 82; 82; 84; 92; 93; 95];22;33;19;25
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,7,[26376; 706; 18067; 1192; 54591; 22398; 12921; 98842; 52738; 118; 9688; 26376; 217; 34746; 143178; 10338; 1192; 8178; 108663; 0; 19; 62; 98; -55; -42; 79; 26; 62; -56; -85; -22];20;16;19;16
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,8,[23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 23; 63; 63; 63; 63; 63; 1; 1; 1; 1; 1; 1; 1; 1; 1];23;21;19;23
SORT_ARRAY_APPLYING_GIVEN_EQUATION,ORIGINAL,9,[281; 39841; 98691; 34543; 49511; 62501; 26553; 179883; 58003; 93017; 58003; 126303; 153; 139667; 191733; 67167; 168411; 34543; 126303; 98691; 45517; 129581; 3871; 15953; 917; 6483; 28067; 0; 90; 22; 55; 67; 99; 60; 58];28;21;23;23
