class,mutant,test_index,result
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,0,[4];0
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,1,[89; -74; 65; 51; 51; 8; -15; -23; 44; 68; 89];8
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,2,[1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1];28
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,3,[51; 43; 15; 15; -5; 38; 74; 93];6
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,4,[-96; -64; -20; -2; 1; -5; 40; 46; 64; 75];7
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,5,[1; 0; 0; 0; 0; 0; 0; 0; 1];5
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,6,[87; 79; 73; 71; 69; 59; 49; 49; 49; 45; 41; 39; 39; 35; 23; 17; 1; 2; 4; 4; 22; 28; 38; 42; 42; 46; 50; 62; 68; 76; 78; 80; 88; 88; 90; 90; 91; 93; 95; 96; 98];34
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,7,[95; 85; 83; 77; -56; -52; 45; -44; 43; -24; -20; -14; 13; 11; 11; 5; -2; 14; 24; 24; -49; -51; -57; 58; 59; 64; 68; 73; 92; 96; 96];24
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,8,[1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1];14
SORT_EVEN_NUMBERS_ASCENDING_ORDER_SORT_ODD_NUMBERS_DESCENDING_ORDER_1,ORIGINAL,9,[77; 69; 55; 41; 7; 10; 10; 10; 34; 42; 44; 44; -51; 60; 66; 68; 69; 91; 96];13
