class,mutant,test_index,result
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,0,185193
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,1,884736
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,2,2744
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,3,262144
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,4,13824
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,5,405224
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,6,614125
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,7,19683
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,8,474552
SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,ORIGINAL,9,1
