class,mutant,test_index,result
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,0,15
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,1,291
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,2,1554
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,3,1672
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,4,875
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,5,43
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,6,901
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,7,90
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,8,1695
SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,ORIGINAL,9,1334
