class,mutant,test_index,result
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,0,0.7803986631477524
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,1,-0.16507936507936516
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,2,-0.21050375120783382
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,3,-0.21185466678122022
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,4,-0.2120245854859959
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,5,0.7770671416747363
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,6,-0.21172836828074082
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,7,0.780190394898247
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,8,0.7821931668684383
SUM_SERIES_23_45_67_89_UPTO_N_TERMS,ORIGINAL,9,0.7825573460049735
