class,mutant,result,test_index
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,89.0,0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,-32.0,1
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,-1.0,2
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,-1.0,3
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,44.0,4
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,-1.0,5
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,-1.0,6
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,-1.0,7
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,-1.0,8
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,65.0,9
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,57.0,0
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,22.0,1
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,17.0,2
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,74.0,3
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,4
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,5
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,6
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,7
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,8
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1.0,9
TRIANGULAR_NUMBERS,ORIGINAL,false,0
TRIANGULAR_NUMBERS,ORIGINAL,false,1
TRIANGULAR_NUMBERS,ORIGINAL,false,2
TRIANGULAR_NUMBERS,ORIGINAL,false,3
TRIANGULAR_NUMBERS,ORIGINAL,false,4
TRIANGULAR_NUMBERS,ORIGINAL,false,5
TRIANGULAR_NUMBERS,ORIGINAL,false,6
TRIANGULAR_NUMBERS,ORIGINAL,false,7
TRIANGULAR_NUMBERS,ORIGINAL,true,8
TRIANGULAR_NUMBERS,ORIGINAL,false,9
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,3.0,0
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,1.0,1
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,9.0,2
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,0.0,3
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,1.0,4
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,2.0,5
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,1.0,6
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,0.0,7
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,24.0,8
REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY,ORIGINAL,1.0,9
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,true,0
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,1
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,true,2
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,3
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,4
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,5
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,6
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,7
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,8
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,false,9
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,0.0,0
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1544033003.0,1
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,0.0,2
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1.0,3
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,0.0,4
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1.0,5
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1147367593.0,6
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,0.0,7
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,0.0,8
WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN,ORIGINAL,1480197697.0,9
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,14.0,0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,1.0,1
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,12.0,2
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,13.0,3
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,2.0,4
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,3.0,5
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,5.0,6
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,1.0,7
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,2.0,8
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,2.0,9
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,10010.0,0
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,1011100.0,1
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,1010111.0,2
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,110010.0,3
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,111000.0,4
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,1011000.0,5
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,11.0,6
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,10000.0,7
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,101101.0,8
PROGRAM_DECIMAL_BINARY_CONVERSION_2,ORIGINAL,111010.0,9
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,true,0
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,true,1
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,false,2
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,false,3
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,false,4
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,false,5
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,ORIGINAL,false,6
