class,Mutation-based Translation Score,Computational Accuracy
ADD_1_TO_A_GIVEN_NUMBER_1,0.4,0.0
AREA_OF_A_HEXAGON,0.9736842105263158,0.0
AREA_OF_THE_CIRCLE_THAT_HAS_A_SQUARE_AND_A_CIRCLE_INSCRIBED_IN_IT,0.9142857142857143,0.0
BASIC_AND_EXTENDED_EUCLIDEAN_ALGORITHMS_1,0.9770114942528736,0.0
BELL_NUMBERS_NUMBER_OF_WAYS_TO_PARTITION_A_SET,1.0,0.0
BINARY_SEARCH,0.9534883720930233,0.0
BREAK_NUMBER_THREE_PARTS,0.7875,0.0
CALCULATE_AREA_TETRAHEDRON,1.0,0.0
CALCULATE_MAXIMUM_VALUE_USING_SIGN_TWO_NUMBERS_STRING,1.0,0.0
CALCULATE_VOLUME_DODECAHEDRON,0.875,0.0
CASSINIS_IDENTITY,1.0,0.0
CENTER_ELEMENT_OF_MATRIX_EQUALS_SUMS_OF_HALF_DIAGONALS,1.0,0.0
CHANGE_ARRAY_PERMUTATION_NUMBERS_1_N,0.4492753623188406,0.0
CHANGE_BITS_CAN_MADE_ONE_FLIP,0.42857142857142855,0.0
CHECK_ARRAY_CONTAINS_CONTIGUOUS_INTEGERS_DUPLICATES_ALLOWED,1.0,0.0
CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES,1.0,0.0
CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES,0.23076923076923078,0.0
CHECK_GIVEN_STRING_ROTATION_PALINDROME,0.9333333333333333,0.0
CHECK_LARGE_NUMBER_DIVISIBLE_13_NOT,0.9681528662420382,0.0
CHECK_LINE_PASSES_ORIGIN,0.8484848484848485,0.0
CHECK_POSSIBLE_TRANSFORM_ONE_STRING_ANOTHER,1.0,0.0
CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES,0.6956521739130435,0.0
CHECK_VALID_SEQUENCE_DIVISIBLE_M_1,0.8502673796791443,0.0
CHECK_WHETHER_ARITHMETIC_PROGRESSION_CAN_FORMED_GIVEN_ARRAY,0.8636363636363636,0.0
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,0.375,0.0
CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD_1,0.8636363636363636,0.0
CHOCOLATE_DISTRIBUTION_PROBLEM,0.9036144578313253,0.0
CIRCLE_LATTICE_POINTS,0.9017857142857143,0.0
COIN_GAME_WINNER_EVERY_PLAYER_THREE_CHOICES,1.0,0.0
COMPOSITE_NUMBER,0.9047619047619048,0.0
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,1.0,0.0
COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,1.0,0.0
COMPUTE_NCR_P_SET_1_INTRODUCTION_AND_DYNAMIC_PROGRAMMING_SOLUTION,1.0,0.0
COST_BALANCE_PARANTHESES,0.9826589595375722,0.0
COUNT_ARRAYS_CONSECUTIVE_ELEMENT_DIFFERENT_VALUES,1.0,0.0
COUNT_BINARY_STRINGS_K_TIMES_APPEARING_ADJACENT_TWO_SET_BITS,1.0,0.0
COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS,0.875,0.0
COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1,1.0,0.0
COUNT_DIGITS_FACTORIAL_SET_1,0.7794117647058824,0.0
COUNT_DISTINCT_NON_NEGATIVE_PAIRS_X_Y_SATISFY_INEQUALITY_XX_YY_N_2,0.9565217391304348,0.0
COUNT_DISTINCT_NON_NEGATIVE_PAIRS_X_Y_SATISFY_INEQUALITY_XX_YY_N_2_1,0.8877551020408163,0.0
COUNT_DISTINCT_OCCURRENCES_AS_A_SUBSEQUENCE,0.9606299212598425,0.0
COUNT_FREQUENCY_K_MATRIX_SIZE_N_MATRIXI_J_IJ,0.5945945945945946,0.0
COUNT_INVERSIONS_OF_SIZE_THREE_IN_A_GIVE_ARRAY_1,1.0,0.0
COUNT_MINIMUM_NUMBER_SUBSETS_SUBSEQUENCES_CONSECUTIVE_NUMBERS,0.9821428571428571,0.0
COUNT_NEGATIVE_NUMBERS_IN_A_COLUMN_WISE_ROW_WISE_SORTED_MATRIX,0.875,0.0
COUNT_NUMBERS_CAN_CONSTRUCTED_USING_TWO_NUMBERS,0.9893617021276596,0.0
COUNT_NUMBER_BINARY_STRINGS_WITHOUT_CONSECUTIVE_1S,1.0,0.0
COUNT_NUMBER_OF_SOLUTIONS_OF_X2_1_MOD_P_IN_GIVEN_RANGE,0.9567901234567902,0.0
COUNT_NUMBER_OF_WAYS_TO_COVER_A_DISTANCE_1,0.9833333333333333,0.0
COUNT_NUMBER_OF_WAYS_TO_PARTITION_A_SET_INTO_K_SUBSETS_1,1.0,0.0
COUNT_NUMBER_WAYS_REACH_GIVEN_SCORE_GAME,1.0,0.0
COUNT_NUMBER_WAYS_TILE_FLOOR_SIZE_N_X_M_USING_1_X_M_SIZE_TILES,0.9726027397260274,0.0
COUNT_OFDIFFERENT_WAYS_EXPRESS_N_SUM_1_3_4,0.9830508474576272,0.0
COUNT_OF_OCCURRENCES_OF_A_101_PATTERN_IN_A_STRING,0.9727272727272728,0.0
COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_1,0.8846153846153846,0.0
COUNT_PALINDROME_SUB_STRINGS_STRING,1.0,0.0
COUNT_PALINDROMIC_SUBSEQUENCE_GIVEN_STRING,1.0,0.0
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_2,1.0,0.0
COUNT_POSSIBLE_WAYS_TO_CONSTRUCT_BUILDINGS,0.7383177570093458,0.0
COUNT_SET_BITS_IN_AN_INTEGER_1,0.0,0.0
COUNT_SET_BITS_IN_AN_INTEGER_2,0.9130434782608695,0.0
COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,1.0,0.0
COUNT_STRINGS_CAN_FORMED_USING_B_C_GIVEN_CONSTRAINTS_1,0.9154929577464789,0.0
COUNT_SUM_OF_DIGITS_IN_NUMBERS_FROM_1_TO_N,0.96875,0.0
COUNT_TOTAL_SET_BITS_IN_ALL_NUMBERS_FROM_1_TO_N,0.7553191489361702,0.0
COUNT_TRAILING_ZEROES_FACTORIAL_NUMBER,1.0,0.0
COUNT_WAYS_BUILD_STREET_GIVEN_CONSTRAINTS,1.0,0.0
COUNT_WAYS_DIVIDE_CIRCLE_USING_N_NON_INTERSECTING_CHORDS,1.0,0.0
C_PROGRAM_FACTORIAL_NUMBER_2,0.926829268292683,0.0
DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS,0.42857142857142855,0.0
DIAGONALLY_DOMINANT_MATRIX,0.7209302325581395,0.0
DICE_THROW_PROBLEM,1.0,0.0
DICE_THROW_PROBLEM_1,1.0,0.0
DIFFERENCE_BETWEEN_HIGHEST_AND_LEAST_FREQUENCIES_IN_AN_ARRAY,0.9891304347826086,0.0
DOUBLE_FACTORIAL,0.5897435897435898,0.0
DYCK_PATH,0.7333333333333333,0.0
DYNAMIC_PROGRAMMING_SET_14_MAXIMUM_SUM_INCREASING_SUBSEQUENCE,0.45045045045045046,0.0
DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING,0.9829545454545454,0.0
DYNAMIC_PROGRAMMING_SET_17_PALINDROME_PARTITIONING_1,1.0,0.0
DYNAMIC_PROGRAMMING_SET_28_MINIMUM_INSERTIONS_TO_FORM_A_PALINDROME,1.0,0.0
DYNAMIC_PROGRAMMING_SET_37_BOOLEAN_PARENTHESIZATION_PROBLEM,1.0,0.0
EFFICIENT_WAY_CHECK_WHETHER_N_TH_FIBONACCI_NUMBER_MULTIPLE_10,0.6923076923076923,0.0
ELEMENTS_TO_BE_ADDED_SO_THAT_ALL_ELEMENTS_OF_A_RANGE_ARE_PRESENT_IN_ARRAY,0.9719626168224299,0.0
EULERIAN_NUMBER_1,1.0,0.0
FIND_A_ROTATION_WITH_MAXIMUM_HAMMING_DISTANCE,1.0,0.0
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE,0.2890625,0.0
FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE_2,0.9316239316239316,0.0
FIND_EQUAL_POINT_STRING_BRACKETS,1.0,0.0
FIND_HARMONIC_MEAN_USING_ARITHMETIC_MEAN_GEOMETRIC_MEAN,0.9605263157894737,0.0
FIND_INDEX_GIVEN_FIBONACCI_NUMBER_CONSTANT_TIME,0.42857142857142855,0.0
