class,mutant,test_index,result
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,0,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,1,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,2,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,3,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,4,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,5,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,6,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,7,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,8,-1.0
K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,ORIGINAL,9,-1.0
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,0,(57; 57)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,1,(22; 22)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,2,(17; 17)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,3,(74; 74)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,4,(93; 22)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,5,(56; 54)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,6,(5; 33)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,7,(5; 68)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,8,(9; 75)
GCD_ELEMENTS_GIVEN_RANGE,ORIGINAL,9,(98; 21)
TRIANGULAR_NUMBERS,ORIGINAL,0,False
TRIANGULAR_NUMBERS,ORIGINAL,1,False
TRIANGULAR_NUMBERS,ORIGINAL,2,False
TRIANGULAR_NUMBERS,ORIGINAL,3,False
TRIANGULAR_NUMBERS,ORIGINAL,4,False
TRIANGULAR_NUMBERS,ORIGINAL,5,False
TRIANGULAR_NUMBERS,ORIGINAL,6,False
TRIANGULAR_NUMBERS,ORIGINAL,7,False
TRIANGULAR_NUMBERS,ORIGINAL,8,True
TRIANGULAR_NUMBERS,ORIGINAL,9,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,0,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,1,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,2,True
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,3,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,4,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,5,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,6,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,7,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,8,False
GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,ORIGINAL,9,False
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,0,14.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,1,1.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,2,12.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,3,13.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,4,2.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,5,3.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,6,5.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,7,1.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,8,1.0
MINIMUM_ROTATIONS_REQUIRED_GET_STRING,ORIGINAL,9,2.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,0,790244.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,1,540274.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,2,1004731.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,3,52394.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,4,62196.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,5,29260.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,6,457310.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,7,455.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,8,18424.0
SUM_SERIES_12_32_52_2N_12_1,ORIGINAL,9,138415.0
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,0,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,1,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,2,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,3,0.0
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,4,False
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,5,True
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,6,0.0
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,7,0.0
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,8,0.0
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,ORIGINAL,9,0.0
DYCK_PATH,ORIGINAL,0,inf
DYCK_PATH,ORIGINAL,1,inf
DYCK_PATH,ORIGINAL,2,inf
DYCK_PATH,ORIGINAL,3,1.1507398920574912e+205
DYCK_PATH,ORIGINAL,4,inf
DYCK_PATH,ORIGINAL,5,8.502050538104395e+39
DYCK_PATH,ORIGINAL,6,11815724400.0
DYCK_PATH,ORIGINAL,7,inf
DYCK_PATH,ORIGINAL,8,inf
DYCK_PATH,ORIGINAL,9,inf
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,0,2.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,1,1.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,2,2.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,3,1.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,4,1.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,5,12.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,6,3.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,7,1.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,8,2.0
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,ORIGINAL,9,2.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,0,328.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,1,328.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,2,328.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,3,328.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,4,327.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,5,327.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,6,327.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,7,328.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,8,327.0
NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,ORIGINAL,9,327.0
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,0,True
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,1,True
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,2,True
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,3,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,4,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,5,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,6,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,7,False
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,8,True
FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1_1,ORIGINAL,9,False
PROGRAM_CENSOR_WORD_ASTERISKS_SENTENCE,ORIGINAL,0,IggvAXtmJ 
